v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24
333,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,391000,0.5,344000,-0.5,1,418697,452193,393575,94701559,6,1961
334,2,2,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,427500,0.5,386000,-0.5,1,466075,494040,433450,94702334,6,2184
335,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,417500,0,330000,-0.5,-0.5,390667,410200,367227,94695998,7,2317
336,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,487000,0.5,359000,-0.5,-0.5,464094,501222,426966,79532260,8,2368
337,2,1.5,-0.5,-1.5,1.5,-0.5,1,-0.5,1.5,400000,-0.5,335000,-0.5,1,410052,434655,381348,94699460,6,2018
338,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,320000,-0.5,307000,-0.5,-0.5,234270,269410,201472,79575074,8,1945
339,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,264000,-0.5,214000,-0.5,-0.5,303249,342671,288087,79580366,8,1910
340,2,2,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,496000,0.5,390000,-0.5,1,497914,537747,463060,94697053,6,2169
341,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,310000,0.5,324952,-0.5,-0.5,464747,497279,441510,94700642,7,1563
342,2,0.5,-0.5,-1.5,1.5,-0.5,1,-0.5,1.5,230000,-0.5,239292,-0.5,1,355923,391515,320331,94700550,6,1086
343,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,280000,-0.5,242000,-0.5,-0.5,327788,350733,304843,79577513,8,1961
344,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,1,-0.5,375000,1,375000,-0.5,-0.5,495794,535458,456130,94700835,7,520
345,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,415500,0,146500,0.5,1,283882,312270,235622,111091257,1,41
346,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,1,-0.5,462000,1,387000,-0.5,-0.5,494474,538977,454916,94696920,6,2233
347,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,511000,0,278460,-0.5,-0.5,383933,410808,349379,79574766,8,2659
348,2,1,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,335000,0.5,335000,-0.5,1,443864,470496,399478,94697653,6,622
349,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,519500,0,311000,-0.5,-0.5,376430,402780,346316,79582267,8,2696
350,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,436000,0.5,377000,-0.5,1,478613,531260,440324,94698784,6,2099
351,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,525000,0,352000,-0.5,-0.5,396070,431716,368345,79576374,8,2626
352,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,0,0,363000,-0.5,-0.5,430386,456209,400259,94700897,6,0
353,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,449000,0,378000,-0.5,1,463863,487056,431393,94700309,6,2100
354,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,450000,0,350000,-0.5,1,409254,446087,368329,79576246,8,393
355,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,603000,0.5,384000,-0.5,-0.5,445656,467939,414460,94702640,7,2463
356,2,1.5,-0.5,-1.5,1.5,-0.5,1,-0.5,1.5,330000,-0.5,233000,-0.5,1,333069,353053,316416,79576799,8,209
357,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,319000,0.5,331888,-0.5,-0.5,432924,463229,393961,79573246,8,1259
358,2,1,-0.5,-1.5,1.5,-0.5,1,0,1.5,365000,0,264000,-0.5,1,412047,432649,391445,94702342,6,384
359,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,434600,0.5,378000,-0.5,1,471848,495440,438819,94697516,6,2088
360,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,437000,0,381000,-0.5,-0.5,475898,504452,437826,94700214,6,2228
361,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,426000,0.5,333337,-0.5,-0.5,407690,436228,387306,83152840,7,107
362,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,475000,0.5,349000,-0.5,-0.5,405043,433396,368589,94696534,7,2415
363,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,286000,0.5,297554,-0.5,-0.5,415535,452933,382292,94702069,7,1241
364,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,425000,0.5,371000,-0.5,1,454600,477330,422778,94699628,6,2172
365,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,2,-0.5,305000,2,305000,-0.5,-0.5,441694,481446,397525,79575455,7,517
366,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,410000,0.5,345000,-0.5,1,507078,542573,476653,94701800,6,435
367,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,467500,0,403000,-0.5,-0.5,455516,478292,428185,94702033,6,2151
368,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,428000,0,381000,-0.5,1,467963,496041,444565,94701897,6,2117
369,2,1,-0.5,-1.5,1.5,-0.5,1,0,1.5,406000,0,361000,-0.5,1,430263,464684,395842,94698051,6,2156
370,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,466000,0.5,387000,-0.5,1,491812,521321,452467,94701108,6,2029
371,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,427500,0,378000,-0.5,1,452903,480077,430258,94699040,6,2179
372,2,1,-0.5,-1.5,1.5,-0.5,1,0,1.5,432000,0,359000,-0.5,1,431418,457303,401219,94699351,6,2183
373,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,433500,0,378000,-0.5,1,453828,481058,431137,94698035,6,2151
374,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,439000,0,381000,-0.5,1,465041,492943,441789,94701180,6,2184
375,2,1,-0.5,-1.5,1.5,-0.5,1,0,1.5,416000,0,359000,-0.5,1,431002,461172,400832,94695963,6,2186
376,2,1,-0.5,-1.5,1.5,-0.5,1,0,1.5,315500,0,275000,-0.5,1,381510,404401,358619,94700345,6,1854
377,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,457500,0,381000,-0.5,-0.5,470862,499114,437902,94700707,6,2211
378,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,459000,0,360000,-0.5,-0.5,433826,459856,399120,94702642,6,2218
379,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,359000,0.5,366180,-0.5,-0.5,463141,495561,439984,94700604,7,902
380,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,436500,0.5,386000,-0.5,-0.5,472718,496354,439628,94697622,6,2262
381,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,451000,0,369000,-0.5,-0.5,469309,497468,445844,94701320,6,2240
382,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,526500,0.5,386000,-0.5,-0.5,475453,503980,442171,94700143,7,2393
383,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,413000,0,376000,-0.5,-0.5,453769,476457,422005,94701538,6,2242
384,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,445000,0,381000,-0.5,-0.5,464577,492452,436702,94701163,6,2261
385,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,466000,0,378000,-0.5,-0.5,450205,481719,418691,94700570,6,2246
386,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,446000,0,381000,-0.5,-0.5,463042,490825,435259,94700628,6,2246
387,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,446500,0,275000,-0.5,-0.5,373439,395845,354767,94698935,7,2395
388,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,485000,0,373000,-0.5,-0.5,449969,476967,418471,94697479,6,2261
389,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,420500,0,359000,-0.5,-0.5,429440,455206,403674,94702121,6,2255
390,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,463500,0,431000,-0.5,-0.5,448735,480146,417324,94702340,7,2303
391,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,415000,0,381000,-0.5,-0.5,464687,492568,441453,94702559,6,2282
