v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24
480,2,-0.5,-0.5,-2,2,0,1.5,-2,2,358000,-2,216000,0.5,1,294389,329716,264950,25047945,44,3331
481,2,0,-0.5,-2,2,0,1.5,-2,2,435000,-2,277120,0.5,1,290603,322569,249919,25047905,44,2806
482,2,0,-0.5,-2,2,0,1.5,-2,2,335000,-2,293000,0.5,1,287025,321468,241101,25047978,44,3626
483,2,0,-0.5,-2,2,0,1.5,-2,2,285000,-2,233000,0.5,1,295963,328519,260447,25047896,44,3719
484,2,0,-0.5,-2,2,0,1.5,-2,2,139000,-2,176954,0.5,1,299153,329068,263255,25047918,44,5701
485,2,0,-0.5,-2,2,0,1.5,-2,2,62000,-2,233000,0.5,1,294851,333182,256520,25047895,44,3709
486,2,-0.5,-0.5,-2,2,0,1.5,-2,2,410000,-2,200940,1,1,362255,398480,329652,25047943,44,3051
487,2,0,-0.5,-2,2,0,1.5,-2,2,268000,-2,233000,0.5,1,293475,325757,261193,25047906,44,3935
488,2,1,-0.5,-2,2,0,1.5,-2,2,465000,-2,328000,0.5,1,416646,466644,374981,25047917,44,3214
489,2,-0.5,-0.5,-2,2,0,1.5,-2,2,205000,-2,214376,0.5,1,303839,334223,276493,25047976,44,1750
490,2,0,-0.5,-2,2,0,1.5,-2,2,270000,-2,317548,0.5,1,219873,257251,178097,25047977,44,4118
491,2,1,-0.5,-2,2,0,1.5,-2,2,260000,-2,272538,1,1,541202,600734,449198,25047942,44,1581
492,2,0,-0.5,-2,2,0,1.5,-2,2,279000,-2,290271,1,1,397480,453127,333883,25047907,44,1336
493,2,0,-0.5,-2,2,0,1.5,-2,2,400000,-2,233000,0.5,1,296146,322799,263570,25047916,44,3170
494,2,-0.5,-0.5,-2,2,0,1.5,-1.5,2,221000,-1.5,190000,0.5,1,298802,331670,268922,25047975,44,1269
495,2,1,-0.5,-2,2,0,1.5,-2,2,362000,-2,232891,1,1,424070,474958,381663,25047893,44,69
496,2,0.5,-0.5,-2,2,0,1.5,-1.5,2,425454,-1.5,304000,1,1,531597,584757,457173,25047930,44,2388
497,2,1,-0.5,-2,2,0,1.5,-2,2,435000,-2,328000,0.5,1,418104,468276,376294,25047941,44,3310
498,2,0,-0.5,-2,2,0,1.5,-2,2,40000,-2,233000,0.5,1,292704,330756,257580,25047908,44,1106
499,2,0,-0.5,-2,2,0,1.5,-2,2,265000,-2,233000,0.5,1,294369,326750,256101,25047915,44,3906
500,2,0,-0.5,-2,2,0,1.5,-2,2,215000,-2,219300,0.5,1,281879,315704,242416,25047931,44,860
501,2,0,-0.5,-2,2,0,1.5,-2,2,105000,-2,136147,0.5,1,295646,322254,260168,25047940,44,5921
502,2,-0.5,-0.5,-2,2,0,1.5,-2,2,275000,-2,288262,1,1,394475,445757,335304,25047909,44,1441
503,2,0,-0.5,-2,2,0,1.5,-2,2,160000,-2,293000,0.5,1,286063,323251,240293,25047914,44,2429
504,2,0,-0.5,-2,2,0,1.5,-2,2,260000,-2,233000,0.5,1,292046,324171,257000,25047932,44,3788
505,2,0.5,-0.5,-2,2,0,1.5,-2,2,326000,-2,233000,0.5,1,303665,334031,276335,25047939,44,149
506,2,0,-0.5,-2,2,0,1.5,-2,2,176500,-2,215922,0.5,1,289151,326741,239995,25047913,44,5376
507,2,0,-0.5,-2,2,0,1.5,-2,2,205000,-2,209100,0.5,1,291508,329404,253612,25047933,44,659
508,2,0,-0.5,-2,2,0,1.5,-2,2,428000,-2,295000,0.5,1,283915,326502,241328,25047938,44,2884
509,2,0,-0.5,-2,2,0,1.5,-2,2,210000,-2,219604,-0.5,1,360485,403743,317227,25047912,44,1764
510,2,1.5,-0.5,-2,2,0,1.5,1,2,0,1,94347,-0.5,1,778351,848403,700516,25047300,46,0
511,2,0.5,-0.5,-2,2,0,1.5,1,2,385000,1,461860,-0.5,1,739841,791630,680654,25047299,44,4549
512,2,0.5,-0.5,-2,2,0,1.5,1,2,475000,1,494190,-0.5,1,700117,756126,644108,25047292,46,1151
513,2,0.5,-0.5,-2,2,0,1.5,1,2,0,1,76517,-0.5,1,667434,727503,600691,25047291,46,0
514,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,65107,-0.5,1,651922,736672,593249,25047284,46,0
515,2,0.5,-0.5,-2,2,0,1.5,1,2,0,1,64111,-0.5,1,649605,740550,545668,25047283,46,0
516,2,0,-0.5,-2,2,0,1.5,-2,2,332000,-2,295000,0.5,1,283834,323571,241259,25047934,44,3464
517,2,0.5,-0.5,-2,2,0,1.5,-1.5,2,140000,-1.5,201040,0.5,1,390630,437506,343754,25047911,44,8280
518,2,-0.5,-0.5,-2,2,0,1.5,-1.5,2,0,-1.5,41214,0.5,1,301607,334784,271446,25047936,44,0
519,2,0.5,-0.5,-2,2,0,1.5,0.5,2,450000,0.5,519547,-0.5,1,661202,707486,601694,25047285,46,3662
520,2,0.5,-0.5,-2,2,0,1.5,0.5,2,242500,0.5,302291,-0.5,1,636123,680652,578872,25047301,46,5351
521,2,0.5,-0.5,-2,2,0,1.5,0.5,2,352000,0.5,430713,-0.5,1,642595,681151,591187,25047298,46,4999
522,2,0.5,-0.5,-2,2,0,1.5,0.5,2,525000,0.5,550320,-0.5,1,636496,681051,579211,25047293,46,1511
523,2,0.5,-0.5,-2,2,0,1.5,0.5,2,350000,0.5,419873,-0.5,1,636935,694259,592350,25047389,46,4514
524,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,178308,-0.5,1,629970,711866,548074,25047281,46,0
525,2,0.5,-0.5,-2,2,0,1.5,0.5,2,168000,0.5,261133,-0.5,1,651248,690323,599148,25047286,46,9463
526,2,0.5,-0.5,-2,2,0,1.5,0.5,2,550000,0.5,521000,-0.5,1,660496,700126,607656,25047297,46,2227
527,2,0.5,-0.5,-2,2,0,1.5,0.5,2,236000,0.5,63711,-0.5,1,613140,662191,570220,25047294,46,8778
528,2,0.5,-0.5,-2,2,0,1.5,0.5,2,811000,0.5,426563,-0.5,1,825169,907686,643632,25047280,46,384
529,2,0.5,-0.5,-2,2,0,1.5,0.5,2,444000,0.5,543287,-0.5,1,686335,734378,617702,25047303,46,4902
530,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,75007,-0.5,1,671454,711741,611023,25047296,46,0
531,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,63315,-0.5,1,656367,695749,597294,25047295,46,0
532,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,206466,-0.5,1,690652,738998,621587,25047288,46,0
533,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,70283,-0.5,1,685128,733087,616615,25047287,46,0
534,2,0.5,-0.5,-2,2,0,1.5,0.5,2,216000,0.5,280075,-0.5,1,642777,713482,591355,25047279,46,5882
535,2,0.5,-0.5,-2,2,0,1.5,0.5,2,150000,0.5,237816,-0.5,1,633331,683997,582665,25047320,46,9820
536,2,0.5,-0.5,-2,2,0,1.5,0.5,2,410000,0.5,501683,-0.5,1,660386,700009,607555,25047309,46,4962
537,2,0.5,-0.5,-2,2,0,1.5,0.5,2,147500,0.5,233853,-0.5,1,657335,703348,604748,25047330,46,9857
538,2,0.5,-0.5,-2,2,0,1.5,0.5,2,204000,0.5,312150,-0.5,1,684747,725832,629967,25047321,46,6769
539,2,0.5,-0.5,-2,2,0,1.5,0.5,2,232500,0.5,313648,-0.5,1,699850,741841,636864,25047310,46,6554
540,2,0.5,-0.5,-2,2,0,1.5,0.5,2,208363,0.5,318494,-0.5,1,671788,718813,618045,25047307,46,9226
541,2,0.5,-0.5,-2,2,0,1.5,0.5,2,550000,0.5,536000,-0.5,1,675873,729943,608286,25047329,46,1716
542,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,92888,-0.5,1,623885,673796,580213,25047311,46,0
543,2,0.5,-0.5,-2,2,0,1.5,0.5,2,220000,0.5,344059,-0.5,1,654988,694287,596039,25047328,46,7566
544,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,76655,-0.5,1,676922,724307,615999,25047323,46,0
545,2,0.5,-0.5,-2,2,0,1.5,0.5,2,470000,0.5,491497,-0.5,1,654730,700561,602352,25047316,46,2018
546,2,0.5,-0.5,-2,2,0,1.5,0.5,2,236000,0.5,306008,-0.5,1,671617,705198,611171,25047306,46,6096
547,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,62718,-0.5,1,631363,688186,580854,25047327,46,0
548,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,70400,-0.5,1,651847,690958,599699,25047324,46,0
549,2,1.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,130906,-0.5,1,772230,834008,695007,25047315,46,0
550,2,0.5,-0.5,-2,2,0,1.5,0.5,2,660000,0.5,520000,-0.5,1,670380,710603,610046,25047313,46,2521
551,2,0.5,-0.5,-2,2,0,1.5,0.5,2,459000,0.5,529937,-0.5,1,668550,708663,608381,25047326,46,3877
552,2,0.5,-0.5,-2,2,0,1.5,0.5,2,252000,0.5,376342,-0.5,1,665330,705250,612104,25047325,46,8959
553,2,0.5,-0.5,-2,2,0,1.5,0.5,2,670000,0.5,515000,-0.5,1,673340,720474,619473,25047369,46,2512
554,2,0.5,-0.5,-2,2,0,1.5,0.5,2,435500,0.5,512195,-0.5,1,677460,718108,609714,25047332,46,4152
555,2,0.5,-0.5,-2,2,0,1.5,0.5,2,90000,0.5,159119,-0.5,1,624296,674240,574352,25047345,46,12447
556,2,0.5,-0.5,-2,2,0,1.5,0.5,2,215000,0.5,284354,-0.5,1,649790,701773,597807,25047346,46,6401
557,2,0.5,-0.5,-2,2,0,1.5,1,2,0,1,75659,-0.5,1,656889,702871,597769,25047360,46,0
558,2,0.5,-0.5,-2,2,0,1.5,0.5,2,520000,0.5,474000,-0.5,1,639648,684423,582080,25047333,46,1245
559,2,0.5,-0.5,-2,2,0,1.5,0.5,2,279000,0.5,355183,-0.5,1,625871,682199,575801,25047344,46,5627
560,2,2,-0.5,-2,2,0,1.5,0.5,2,288000,0.5,405451,-0.5,1,853973,939370,777115,25047347,38,7699
561,2,0.5,-0.5,-2,2,0,1.5,0.5,2,223000,0.5,339828,-0.5,1,626130,682482,582301,25047368,46,9060
562,2,0.5,-0.5,-2,2,0,1.5,0.5,2,485000,0.5,605333,-0.5,1,795002,866552,731402,25047361,46,5046
563,2,0.5,-0.5,-2,2,0,1.5,0.5,2,248000,0.5,295870,-0.5,1,663048,702831,610004,25047334,46,5425
564,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,64310,-0.5,1,655206,694518,609342,25047343,46,0
565,2,0.5,-0.5,-2,2,0,1.5,0.5,2,560000,0.5,391894,-0.5,1,655686,701584,609788,25047348,46,3556
566,2,0.5,-0.5,-2,2,0,1.5,0.5,2,591000,0.5,600000,-0.5,1,718320,754236,668038,25047357,46,1679
567,2,0.5,-0.5,-2,2,0,1.5,0.5,2,665000,0.5,526000,-0.5,1,703397,752635,640091,25047335,46,2611
568,2,0.5,-0.5,-2,2,0,1.5,0.5,2,590000,0.5,522000,-0.5,1,648658,687577,596765,25047371,46,2219
569,2,0.5,-0.5,-2,2,0,1.5,0.5,2,550000,0.5,522000,-0.5,1,684114,732002,629385,25047342,46,1864
570,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,74761,-0.5,1,643274,688303,591812,25047367,46,0
571,2,0.5,-0.5,-2,2,0,1.5,0.5,2,258000,0.5,385457,-0.5,1,731204,767764,680020,25047349,46,8686
572,2,0.5,-0.5,-2,2,0,1.5,0.5,2,234000,0.5,303415,-0.5,1,702655,765894,632390,25047336,46,6096
573,2,0.5,-0.5,-2,2,0,1.5,0.5,2,270000,0.5,343725,-0.5,1,678097,725564,610287,25047372,46,5761
574,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,67574,-0.5,1,655682,695023,609784,25047350,46,0
575,2,0.5,-0.5,-2,2,0,1.5,0.5,2,400000,0.5,499243,-0.5,1,647207,692511,595430,25047355,46,5084
576,2,0.5,-0.5,-2,2,0,1.5,0.5,2,482000,0.5,482000,-0.5,1,698459,740367,628613,25047363,46,576
577,2,0.5,-0.5,-2,2,0,1.5,0.5,2,205000,0.5,271128,-0.5,1,652856,692027,607156,25047337,46,6286
578,2,0.5,-0.5,-2,2,0,1.5,0.5,2,545000,0.5,526000,-0.5,1,647088,692384,595321,25047340,46,2162
579,2,0.5,-0.5,-2,2,0,1.5,0.5,2,515000,0.5,525300,-0.5,1,696712,745482,634008,25047351,46,968
580,2,0.5,-0.5,-2,2,0,1.5,0.5,2,465000,0.5,546890,-0.5,1,677221,731399,623043,25047354,46,4273
581,2,0.5,-0.5,-2,2,0,1.5,0.5,2,700000,0.5,520000,-0.5,1,723653,781545,651288,25047338,46,359
582,2,0.5,-0.5,-2,2,0,1.5,0.5,2,218000,0.5,309894,-0.5,1,713643,770734,642279,25047339,46,7198
583,2,0.5,-0.5,-2,2,0,1.5,1,2,505000,1,164063,-0.5,1,638546,689630,587462,25047352,46,3773
584,2,0.5,-0.5,-2,2,0,1.5,0.5,2,645000,0.5,522000,-0.5,1,639229,683975,588091,25047364,46,2543
585,2,0.5,-0.5,-2,2,0,1.5,0.5,2,579000,0.5,515000,-0.5,1,660029,706231,607227,25047365,46,3516
586,2,0.5,-0.5,-2,2,0,1.5,0.5,2,700000,0.5,558000,-0.5,1,668263,708359,614802,25047373,46,126
587,2,0.5,-0.5,-2,2,0,1.5,1,2,760000,1,539000,-0.5,1,669485,723044,615926,25047383,46,3023
588,2,0.5,-0.5,-2,2,0,1.5,0.5,2,28900,0.5,65847,-0.5,1,650486,696020,604952,25047377,46,15087
589,2,0.5,-0.5,-2,2,0,1.5,1,2,77000,1,191804,-0.5,1,626315,682683,582473,25047382,46,7863
590,2,1.5,-0.5,-2,2,0,1.5,0.5,2,405000,0.5,188750,-0.5,1,850160,909671,773646,25047378,46,1569
591,2,0.5,-0.5,-2,2,0,1.5,1,2,376000,1,460080,-0.5,1,656221,708719,610286,25047381,46,4969
592,2,0.5,-0.5,-2,2,0,1.5,1,2,103500,1,307828,-0.5,1,657113,709682,597973,25047380,46,5817
593,2,-0.5,-1.5,-2,2,0,1.5,0.5,2,230000,0.5,89991,-0.5,1,659456,712212,606700,25052644,34,7553
594,2,-0.5,-1.5,-2,2,0,1.5,0.5,2,150000,0.5,283329,-0.5,1,711681,754382,668980,25052645,34,10585
595,2,-0.5,-1.5,-2,2,0,1.5,1.5,2,0,1.5,254277,-0.5,1,760781,814036,699919,25052646,34,0
596,2,0.5,-0.5,-2,2,0,1.5,0.5,2,665000,0.5,229812,-0.5,1,640444,685275,589208,25047387,43,3149
597,2,0.5,-0.5,-2,2,0,1.5,0.5,2,515000,0.5,539837,-0.5,1,652503,691653,600303,25047356,46,1402
598,2,0.5,-0.5,-2,2,0,1.5,0.5,2,393000,0.5,480881,-0.5,1,675155,715664,614391,25047386,46,4894
599,2,-0.5,-1.5,-2,2,0,1.5,1,2,0,1,182692,-0.5,1,627390,683855,577199,25052639,34,0
600,2,0.5,-0.5,-2,2,0,1.5,0.5,2,525000,0.5,550320,-0.5,1,613725,668960,570764,25052640,34,1487
601,2,1,-0.5,-2,2,0,1.5,1,2,300000,1,430800,-0.5,1,767635,821369,706224,25052638,34,8029
602,2,0.5,-0.5,-2,2,0,1.5,1,2,565000,1,664501,-0.5,1,741257,800558,689369,25052641,34,3949
603,2,1,-0.5,-2,2,0,1.5,0.5,2,859000,0.5,750000,-0.5,1,825149,866406,767389,25052651,19,3219
604,2,0.5,-0.5,-2,2,0,1.5,0.5,2,485000,0.5,570413,-0.5,1,676671,717271,615771,25052637,34,4269
605,2,2,-0.5,-2,2,0,1.5,0.5,2,315909,0.5,409092,-0.5,1,779262,841603,732506,25052642,34,6082
606,2,1,-0.5,-2,2,0,1.5,0.5,2,55000,0.5,352799,-0.5,1,765734,819335,704475,25052634,34,8870
607,2,0.5,-0.5,-2,2,0,1.5,1,2,263000,1,490444,-0.5,1,740780,800042,696333,25052647,64,5915
608,2,0.5,-0.5,-2,2,0,1.5,0.5,2,442000,0.5,510310,-0.5,1,627740,696791,552411,25047889,43,3916
609,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,366180,-0.5,1,672283,719343,611778,25052633,34,0
610,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,64111,-0.5,1,632278,708151,543759,25047890,43,0
611,2,0.5,-0.5,-2,2,0,1.5,0.5,2,665000,0.5,530000,-0.5,1,627101,721166,545578,25047891,43,3164
612,2,0.5,-0.5,-2,2,0,1.5,0.5,2,405000,0.5,476324,-0.5,1,669499,709669,609244,25047375,46,4276
613,2,0.5,-0.5,-2,2,0,1.5,0.5,2,452000,0.5,531601,-0.5,1,618617,668106,575314,25052631,34,4059
614,2,1,-0.5,-2,2,0,1.5,0.5,2,550000,0.5,575156,-0.5,1,766783,820458,720776,25052629,34,1798
615,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,287121,-0.5,1,660275,699892,607453,25047272,44,0
616,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,91417,-0.5,1,624403,705575,543231,25047950,43,0
617,2,0.5,-0.5,-2,2,0,1.5,0.5,2,500000,0.5,370782,-0.5,1,673054,713437,605749,25047370,46,1836
618,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,155583,-0.5,1,631744,701236,555935,25047951,43,0
619,2,0.5,-0.5,-2,2,0,1.5,0.5,2,541000,0.5,537000,-0.5,1,635708,699279,591208,25047952,43,2198
620,2,0.5,-0.5,-2,2,0,1.5,0.5,2,670500,0.5,559871,-0.5,1,722603,765959,657569,25047955,43,386
621,2,-0.5,-0.5,-2,2,0,1.5,-1.5,2,180000,-1.5,187271,0.5,1,298535,337345,253755,25047974,44,1016
622,2,0,-0.5,-2,2,0,1.5,-2,2,300000,-2,293000,0.5,1,286801,326953,240913,25047967,44,3619
623,2,0,-0.5,-2,2,0,1.5,-2,2,330000,-2,293000,1,1,437462,481208,389341,25047973,44,3667
624,2,0.5,-0.5,-2,2,0,1.5,0.5,2,214500,0.5,314770,-0.5,1,653853,725777,595006,25047956,43,8364
625,2,0,-0.5,-2,2,0,1.5,-2,2,279500,-2,293000,0.5,1,290382,339747,235209,25047972,44,4000
626,2,0.5,-0.5,-2,2,0,1.5,0.5,2,515000,0.5,530000,-0.5,1,626980,683408,545473,25047957,43,1679
627,2,0.5,-0.5,-2,2,0,1.5,0.5,2,205500,0.5,271790,-0.5,1,640621,685464,589371,25047277,44,6230
628,2,0,-0.5,-2,2,0,1.5,-2,2,266000,-2,293000,0.5,1,286031,337517,228825,25047970,44,4398
629,2,0.5,-0.5,-2,2,0,1.5,-1.5,2,475000,-1.5,308000,0.5,1,405800,454496,365220,25047969,44,3192
630,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,57143,-0.5,1,625433,675468,575398,25047278,44,0
631,2,1,-0.5,-2,2,0,1.5,-2,2,367000,-2,326000,0.5,1,420409,483470,365756,25047962,44,2003
632,2,0,-0.5,-2,2,0,1.5,-2,2,300000,-2,293000,0.5,1,290767,340197,241337,25047960,44,3821
633,2,-0.5,-0.5,-2,2,0,1.5,-1.5,2,215000,-1.5,223685,0.5,1,300882,333979,267785,25047910,44,1107
634,2,0.5,-0.5,-2,2,0,1.5,0.5,2,268000,0.5,341180,-0.5,1,684877,732818,623238,25047384,46,5609
635,2,-0.5,-0.5,-2,2,0,1.5,-2,2,0,-2,84613,0.5,1,293667,320097,264300,25047898,44,0
636,2,0,-0.5,-2,2,0,1.5,-2,2,452000,-2,211238,0.5,1,291820,338511,242211,25047963,44,2935
637,2,0.5,-0.5,-2,2,0,1.5,0.5,2,585000,0.5,484281,-0.5,1,628054,678298,577810,25047359,46,3338
638,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,109655,-0.5,1,629357,685999,585302,25047274,44,0
639,2,0,-0.5,-2,2,0,1.5,-2,2,237000,-2,241536,0.5,1,290741,340167,235500,25047971,44,863
640,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,64310,-0.5,1,646029,704172,600807,25047388,46,0
641,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,60129,-0.5,1,633569,677919,582883,25047275,44,0
642,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,212657,-0.5,1,636207,680741,585310,25047374,44,0
643,2,0.5,-0.5,-2,2,0,1.5,0.5,2,500,0.5,285075,-0.5,1,645685,684426,594030,25047273,44,7070
644,2,0,-0.5,-2,2,0,1.5,-2,2,240000,-2,295000,1,1,391303,449998,332608,25047928,44,345
645,2,1,-0.5,-2,2,0,1.5,-2,2,0,-2,46391,0.5,1,422527,481681,367598,25047961,44,0
646,2,0,-0.5,-2,2,0,1.5,-2,2,0,-2,119259,0.5,1,301370,331507,265206,25047919,44,0
647,2,0.5,-0.5,-2,2,0,1.5,0.5,2,212500,0.5,311254,-0.5,1,638798,683514,587694,25047953,43,8392
648,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,65903,-0.5,1,654573,700393,602207,25047322,46,0
649,2,0.5,-0.5,-2,2,0,1.5,0.5,2,400000,0.5,408000,-0.5,1,627174,677348,583272,25047358,46,832
650,2,0.5,-0.5,-2,2,0,1.5,0.5,2,411000,0.5,419220,-0.5,1,654292,687007,588863,25047302,46,679
651,2,-0.5,-0.5,-2,2,0,1.5,-1.5,2,0,-1.5,86452,0.5,1,299747,332719,263777,25047935,44,0
652,2,0.5,-0.5,-2,2,0,1.5,0.5,2,410000,0.5,511724,-0.5,1,635765,718414,553116,25047892,43,5039
653,2,0,-0.5,-2,2,0,1.5,-2,2,0,-2,134599,0.5,1,289079,326659,239936,25047894,44,0
654,2,0,-0.5,-2,2,0,1.5,-2,2,0,-2,121846,0.5,1,275797,311651,245459,25047944,44,0
655,2,0,-0.5,-2,2,0,1.5,-2,2,107000,-2,165627,0.5,1,289085,332448,242831,25047966,44,7622
656,2,0.5,-0.5,-2,2,0,1.5,0.5,2,34900,0.5,62518,-0.5,1,618379,667849,568909,25047289,46,8793
657,2,0.5,-0.5,-2,2,0,1.5,0.5,2,650000,0.5,472000,-0.5,1,610368,659197,567642,25047317,46,3121
658,2,0.5,-0.5,-2,2,0,1.5,0.5,2,480000,0.5,503150,-0.5,1,667925,714680,614491,25047391,46,1644
659,2,-0.5,-0.5,-2,2,0,1.5,-2,2,181000,-2,184620,0.5,1,293830,329090,267385,25047929,44,902
660,2,0.5,-0.5,-2,2,0,1.5,0.5,2,708000,0.5,209639,-0.5,1,638271,689333,587209,25052632,34,210
661,2,0.5,-0.5,-2,2,0,1.5,0.5,2,582500,0.5,526000,-0.5,1,657572,703602,611542,25047341,46,1660
662,2,0.5,-0.5,-2,2,0,1.5,0.5,2,460000,0.5,551834,-0.5,1,647996,693356,602636,25047366,46,4350
663,2,0,-0.5,-2,2,0,1.5,-2,2,345000,-2,220000,0.5,1,291434,335149,238976,25047964,44,3310
664,2,0,-0.5,-2,2,0,1.5,-2,2,0,-2,51669,0.5,1,300264,333293,267235,25047922,44,0
665,2,0.5,-0.5,-2,2,0,1.5,0.5,2,245000,0.5,366034,-0.5,1,695667,751320,626100,25047331,46,9016
666,2,0,-0.5,-2,2,0,1.5,-2,2,0,-2,47842,0.5,1,299315,332240,266390,25047900,44,0
667,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,115000,-0.5,404748,-0.5,0.5,730248,781365,693736,25073969,21,5550
668,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,634500,-0.5,660000,-0.5,0.5,796335,852078,740592,61175037,11,4130
669,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,750000,-0.5,660000,-0.5,0.5,762715,816105,716952,25085497,16,2032
670,2,0.5,-0.5,-2,2,0.5,1.5,2,2,335000,2,417991,-0.5,0.5,652723,704941,607032,25074784,44,5263
671,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,215500,-0.5,293941,-0.5,0.5,665654,718906,605745,25083093,29,6916
672,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,478000,-0.5,584400,-0.5,0.5,766688,812689,720687,25085671,0,5007
673,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,320000,-0.5,407378,-0.5,0.5,665144,725007,625235,25085575,16,5599
674,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,615000,-0.5,660000,-0.5,0.5,786000,833160,730980,61175041,11,4025
675,2,1,-0.5,-2,2,0.5,1.5,-2,2,66500,-2,205821,0.5,0.5,435261,478787,383030,25074984,34,7679
676,2,0.5,-0.5,-2,2,0.5,1.5,0,2,431000,0,94340,-0.5,0.5,472949,524973,420925,25083078,29,3783
677,2,1,-0.5,-2,2,0.5,1.5,0,2,0,0,321597,-0.5,0.5,684762,739543,629981,25084907,26,0
678,2,0.5,-0.5,-2,2,0.5,1.5,0.5,2,515500,0.5,617814,-0.5,0.5,711092,753758,668426,25074285,46,4371
679,2,0,-0.5,-2,2,0.5,1.5,-2,2,142000,-2,195992,1,0.5,418927,448252,381224,25074555,31,7519
680,2,0.5,-0.5,-2,2,0.5,1.5,0.5,2,480000,0.5,575827,-0.5,0.5,659361,705516,619799,25074476,46,4360
681,2,1,-0.5,-2,2,0.5,1.5,-2,2,325000,-2,389882,0.5,0.5,452738,502539,411992,25074952,37,4368
682,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,615000,-0.5,627300,-0.5,0.5,743990,796069,691911,25085697,15,981
683,2,1.5,-0.5,-2,2,0.5,1.5,0,2,238000,0,321068,-0.5,0.5,656861,709410,617449,25083873,25,6616
684,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,125000,-0.5,395477,-0.5,0.5,784488,839402,745264,25074153,22,4263
685,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,653000,-0.5,540000,-0.5,0.5,661816,708143,608871,25083100,29,3396
686,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,410000,-0.5,418200,1,0.5,593409,646816,545936,25083251,28,834
687,2,0.5,-0.5,-2,2,0.5,1.5,0.5,2,230000,0.5,323798,-0.5,0.5,705537,754925,642039,25074286,46,7640
688,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,710500,-0.5,612000,-0.5,0.5,661495,714415,628420,25085512,16,2527
689,2,0.5,-0.5,-2,2,0.5,1.5,-0.5,2,44500,-0.5,196172,-0.5,0.5,438147,486343,394332,25083196,28,8739
690,2,1,-0.5,-2,2,0.5,1.5,-2,2,268000,-2,278827,0.5,0.5,444761,489237,409180,25074967,43,1255
691,2,1,-0.5,-2,2,0.5,1.5,-0.5,2,310000,-0.5,316200,0.5,0.5,404918,457557,364426,25083189,28,786
692,2,1,-0.5,-2,2,0.5,1.5,0,2,227000,0,331060,-0.5,0.5,657408,716575,617964,25085015,25,7114
693,2,0.5,-0.5,-2,2,0.5,1.5,0,2,272000,0,346271,-0.5,0.5,524832,587812,461852,25084950,26,5572
694,2,0.5,-0.5,-2,2,0.5,1.5,0,2,595000,0,613000,-0.5,0.5,657576,703606,618121,25074187,21,3502
695,2,1,-0.5,-2,2,0.5,1.5,0,2,605000,0,610000,-0.5,0.5,690173,745387,641861,25083097,29,3450
696,2,1.5,-0.5,-2,2,0.5,1.5,0,2,325000,0,448436,-0.5,0.5,831677,881578,781776,25074002,21,7464
697,2,0.5,-0.5,-2,2,0.5,1.5,0.5,2,425000,0.5,499800,-0.5,0.5,630063,674167,579658,25084960,26,680
698,2,1,-0.5,-2,2,0.5,1.5,0,2,625000,0,619000,-0.5,0.5,708095,750581,665609,25083845,27,1532
