v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24,v25
14237,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,668000,0.5,238505,-0.5,1,649873,701863,617379,19739468,39,162,1
14238,2,-0.5,-1.5,-2,0.5,-0.5,1,-1.5,2,258000,-1.5,150000,0.5,1,257976,276034,237338,69303883,26,162,1
14239,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,589500,0.5,279148,-0.5,1,592987,640426,545548,19824160,43,162,1
14240,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,390000,0.5,299000,-0.5,1,400706,444784,372657,19727734,37,163,0
14241,2,1.5,-0.5,-2,0.5,-0.5,1,-2,2,437000,-2,268000,0.5,1,433929,477322,403554,19709353,30,163,0
14242,2,-0.5,-0.5,-2,0.5,-0.5,1,0.5,2,81000,0.5,82717,-0.5,1,463791,510170,422050,19780059,41,61,1
14243,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,720000,0.5,71515,-0.5,1,721033,778716,677771,19694757,53,163,1
14244,2,1,-0.5,-2,0.5,-0.5,1,-2,2,620000,-2,489000,1,1,608594,657282,553821,19701677,21,163,1
14245,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,480100,0.5,159805,-0.5,1,483630,522320,459449,19803568,50,163,1
14246,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,675000,0.5,472000,-0.5,1,663864,710334,610755,19824333,39,163,1
14247,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,610000,0.5,191573,-0.5,1,601632,637730,565534,19788743,32,163,1
14248,2,1,-0.5,-2,0.5,-0.5,1,-2,2,525000,-2,374803,0.5,1,511311,547103,475519,116157273,4,163,1
14249,2,-0.5,-1.5,-2,0.5,-0.5,1,-2,2,5000000,-2,2334029,2,1,5037539,8060062,3072899,82961914,89,163,1
14250,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,625000,0.5,387000,-0.5,1,601230,643316,571169,19823234,43,163,1
14251,2,1,-0.5,-2,0.5,-0.5,1,1.5,2,1190500,1.5,179861,-0.5,1,1219002,1316522,1158052,19765590,41,163,1
14252,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,515000,0.5,207154,-0.5,1,514761,550794,483875,112100057,38,163,1
14253,2,1.5,-0.5,-2,0.5,-0.5,1,1,2,1049000,1,624060,-0.5,1,1052589,1136796,947330,19692686,61,163,0
14254,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,859000,0.5,198860,-0.5,1,800493,848523,744458,19832899,42,166,1
14255,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,550000,0.5,118621,-0.5,1,555628,588966,527847,19705675,42,166,1
14256,2,1,-0.5,-2,0.5,-0.5,1,-2,2,589000,-2,226197,0.5,1,579600,620172,550620,19592399,29,166,1
14257,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,1160000,0.5,69487,-0.5,1,1026834,1119249,924151,19641189,57,166,0
14258,2,1.5,-0.5,-2,0.5,-0.5,1,-1.5,2,630000,-1.5,453000,1,1,610130,646738,579624,64758034,10,166,1
14259,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,649000,0.5,52744,-0.5,1,628902,679214,591168,19691260,60,166,1
14260,2,2,-0.5,-2,0.5,-0.5,1,0.5,2,1320000,0.5,1009000,-0.5,1,1308954,1374402,1230417,64564666,10,166,1
14261,2,1,-0.5,-2,0.5,-0.5,1,-2,2,580000,-2,347000,0.5,1,533196,575852,485208,61322543,10,166,1
14262,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,525000,-2,88986,0.5,1,527248,553610,495613,19799823,29,166,0
14263,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,1019000,0.5,711991,-0.5,1,954257,1011512,877916,19692335,54,166,1
14264,2,-0.5,-1.5,-2,0.5,-0.5,1,0,2,365000,0,236821,1.5,1,425893,506813,362009,19709668,116,166,0
14265,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,770000,0.5,330640,-0.5,1,777500,831925,738625,19669902,49,166,1
14266,2,0.5,-0.5,-2,0.5,-0.5,1,0,2,540000,0,179795,-0.5,1,539465,566438,501702,19810239,33,166,1
14267,2,-0.5,-0.5,-2,0.5,-0.5,1,-0.5,2,260000,-0.5,208000,0.5,1,400770,432832,372716,19700750,31,1652,1
